Dimensional Modulator,Energy Decay Modulator,Feedback Modulator,Detectability
0.5,0.5,0.8,18.18207277
0.5,0.5,0.975,17.79415972
0.5,0.5,1.15,19.02074359
0.5,0.5,1.325,18.38837647
0.5,0.5,1.5,19.40618167
0.5,0.75,0.8,18.67284588
0.5,0.75,0.975,18.04852272
0.5,0.75,1.15,19.09764031
0.5,0.75,1.325,18.2927528
0.5,0.75,1.5,19.34200388
0.5,1,0.8,19.16617897
0.5,1,0.975,18.4172351
0.5,1,1.15,19.3610789
0.5,1,1.325,18.45548291
0.5,1,1.5,19.44105171
0.5,1.25,0.8,19.52225755
0.5,1.25,0.975,18.73870917
0.5,1.25,1.15,19.60180434
0.5,1.25,1.325,18.63771239
0.5,1.25,1.5,19.55758987
0.5,1.5,0.8,19.78338551
0.5,1.5,0.975,18.9659303
0.5,1.5,1.15,19.78843909
0.5,1.5,1.325,18.8047712
0.5,1.5,1.5,19.67862828
0.75,0.5,0.8,27.27310915
0.75,0.5,0.975,26.69123959
0.75,0.5,1.15,28.53111538
0.75,0.5,1.325,27.58256471
0.75,0.5,1.5,29.1092725
0.75,0.75,0.8,28.00926883
0.75,0.75,0.975,27.07278408
0.75,0.75,1.15,28.64646047
0.75,0.75,1.325,27.43912919
0.75,0.75,1.5,29.01300582
0.75,1,0.8,28.74926845
0.75,1,0.975,27.62585265
0.75,1,1.15,29.04161834
0.75,1,1.325,27.68322437
0.75,1,1.5,29.16157757
0.75,1.25,0.8,29.28338632
0.75,1.25,0.975,28.10806375
0.75,1.25,1.15,29.40270652
0.75,1.25,1.325,27.95656859
0.75,1.25,1.5,29.33638481
0.75,1.5,0.8,29.67507826
0.75,1.5,0.975,28.44889545
0.75,1.5,1.15,29.68265864
0.75,1.5,1.325,28.2071568
0.75,1.5,1.5,29.51794242
1,0.5,0.8,36.36414554
1,0.5,0.975,35.58831945
1,0.5,1.15,38.04148718
1,0.5,1.325,36.77675294
1,0.5,1.5,38.81236334
1,0.75,0.8,37.34569177
1,0.75,0.975,36.09704544
1,0.75,1.15,38.19528062
1,0.75,1.325,36.58550559
1,0.75,1.5,38.68400776
1,1,0.8,38.33235794
1,1,0.975,36.83447021
1,1,1.15,38.72215779
1,1,1.325,36.91096583
1,1,1.5,38.88210343
1,1.25,0.8,39.04451509
1,1.25,0.975,37.47741833
1,1.25,1.15,39.20360869
1,1.25,1.325,37.27542479
1,1.25,1.5,39.11517974
1,1.5,0.8,39.56677101
1,1.5,0.975,37.9318606
1,1.5,1.15,39.57687819
1,1.5,1.325,37.6095424
1,1.5,1.5,39.35725656
1.25,0.5,0.8,45.45518192
1.25,0.5,0.975,44.48539931
1.25,0.5,1.15,47.55185897
1.25,0.5,1.325,45.97094118
1.25,0.5,1.5,48.51545417
1.25,0.75,0.8,46.68211471
1.25,0.75,0.975,45.1213068
1.25,0.75,1.15,47.74410078
1.25,0.75,1.325,45.73188199
1.25,0.75,1.5,48.3550097
1.25,1,0.8,47.91544742
1.25,1,0.975,46.04308776
1.25,1,1.15,48.40269724
1.25,1,1.325,46.13870729
1.25,1,1.5,48.60262928
1.25,1.25,0.8,48.80564387
1.25,1.25,0.975,46.84677292
1.25,1.25,1.15,49.00451086
1.25,1.25,1.325,46.59428098
1.25,1.25,1.5,48.89397468
1.25,1.5,0.8,49.45846377
1.25,1.5,0.975,47.41482574
1.25,1.5,1.15,49.47109774
1.25,1.5,1.325,47.01192801
1.25,1.5,1.5,49.19657071
1.5,0.5,0.8,54.54621831
1.5,0.5,0.975,53.38247917
1.5,0.5,1.15,57.06223077
1.5,0.5,1.325,55.16512941
1.5,0.5,1.5,58.21854501
1.5,0.75,0.8,56.01853765
1.5,0.75,0.975,54.14556816
1.5,0.75,1.15,57.29292094
1.5,0.75,1.325,54.87825839
1.5,0.75,1.5,58.02601164
1.5,1,0.8,57.49853691
1.5,1,0.975,55.25170531
1.5,1,1.15,58.08323669
1.5,1,1.325,55.36644874
1.5,1,1.5,58.32315514
1.5,1.25,0.8,58.56677264
1.5,1.25,0.975,56.2161275
1.5,1.25,1.15,58.80541303
1.5,1.25,1.325,55.91313718
1.5,1.25,1.5,58.67276961
1.5,1.5,0.8,59.35015652
1.5,1.5,0.975,56.89779089
1.5,1.5,1.15,59.36531728
1.5,1.5,1.325,56.41431361
1.5,1.5,1.5,59.03588485
