Time (t),Max Amplitude (Psi),Decay Rate Approx
0,0.9949114704,0.1
0.05050505051,0.9042875036,0.1
0.101010101,0.8332211542,0.1
0.1515151515,0.7757732418,0.1
0.202020202,0.7276959328,0.1
0.2525252525,0.687424738,0.1
0.303030303,0.6518910818,0.1
0.3535353535,0.6209356974,0.1
0.404040404,0.5935255429,0.1
0.4545454545,0.5690564913,0.1
0.5050505051,0.5469492958,0.1
0.5555555556,0.5269031696,0.1
0.6060606061,0.5085481609,0.1
0.6565656566,0.4917233702,0.1
0.7070707071,0.4761558308,0.1
0.7575757576,0.461756489,0.1
0.8080808081,0.448333777,0.1
0.8585858586,0.4358081833,0.1
0.9090909091,0.424076701,0.1
0.9595959596,0.4130265111,0.1
1.01010101,0.4026514519,0.1
1.060606061,0.3928072033,0.1
1.111111111,0.3835017291,0.1
1.161616162,0.3746946002,0.1
1.212121212,0.366324528,0.1
1.262626263,0.3583275078,0.1
1.313131313,0.350713922,0.1
1.363636364,0.3434425851,0.1
1.414141414,0.3364913193,0.1
1.464646465,0.3298330262,0.1
1.515151515,0.3234436615,0.1
1.565656566,0.3173014683,0.1
1.616161616,0.311396345,0.1
1.666666667,0.3057148214,0.1
1.717171717,0.300255578,0.1
1.767676768,0.2949529444,0.1
1.818181818,0.2898822355,0.1
1.868686869,0.2849549034,0.1
1.919191919,0.2801860711,0.1
1.96969697,0.2756070304,0.1
2.02020202,0.2711478403,0.1
2.070707071,0.2668116165,0.1
2.121212121,0.262645264,0.1
2.171717172,0.2585732221,0.1
2.222222222,0.2546283598,0.1
2.272727273,0.2508593388,0.1
2.323232323,0.2470716364,0.1
2.373737374,0.2435109893,0.1
2.424242424,0.2399236877,0.1
2.474747475,0.236489324,0.1
2.525252525,0.2331717885,0.1
2.575757576,0.2299497606,0.1
2.626262626,0.2267309561,0.1
2.676767677,0.2236305361,0.1
2.727272727,0.2206306501,0.1
2.777777778,0.2177152492,0.1
2.828282828,0.2147865121,0.1
2.878787879,0.2120580118,0.1
2.929292929,0.2092202619,0.1
2.97979798,0.206550464,0.1
3.03030303,0.2039719877,0.1
3.080808081,0.2013504398,0.1
3.131313131,0.1988241563,0.1
3.181818182,0.1963758869,0.1
3.232323232,0.1940121647,0.1
3.282828283,0.1916076409,0.1
3.333333333,0.1892921253,0.1
3.383838384,0.1870494178,0.1
3.434343434,0.1847835829,0.1
3.484848485,0.1826814976,0.1
3.535353535,0.1804913782,0.1
3.585858586,0.1783794576,0.1
3.636363636,0.1763234556,0.1
3.686868687,0.1743668695,0.1
3.737373737,0.1723468843,0.1
3.787878788,0.1703831907,0.1
3.838383838,0.1684689403,0.1
3.888888889,0.1666489856,0.1
3.939393939,0.1647444537,0.1
3.98989899,0.1629974445,0.1
4.04040404,0.1611652668,0.1
4.090909091,0.1594130444,0.1
4.141414141,0.1577520095,0.1
4.191919192,0.1560295771,0.1
4.242424242,0.1543415041,0.1
4.292929293,0.1527159233,0.1
4.343434343,0.1511428333,0.1
4.393939394,0.1495394844,0.1
4.444444444,0.1480072883,0.1
4.494949495,0.1464620919,0.1
4.545454545,0.1449680189,0.1
4.595959596,0.1434718757,0.1
4.646464646,0.1419918242,0.1
4.696969697,0.1405412599,0.1
4.747474747,0.1391630974,0.1
4.797979798,0.1377408407,0.1
4.848484848,0.1363541293,0.1
4.898989899,0.1350053221,0.1
4.949494949,0.1337073546,0.1
5,0.1323630873,0.1
