n,phi^(-n),tau_scaling,ratio
1,0.6180339887498948,0.3329584786958796,1.8561893698295033
2,0.38196601125010515,0.1108613485354745,3.445438976668049
3,0.23606797749978967,0.03691222595454526,6.395387202887474
4,0.14589803375031543,0.012290238599103954,11.87104974194337
5,0.09016994374947424,0.004092139146767029,22.034916339712563
6,0.0557280900008412,0.0013625124249194048,40.90097747485688
7,0.03444185374863302,0.00045366006420539896,75.91995960446529
8,0.02128623625220818,0.00015104996482290473,140.92182197569375
9,0.013155617496424835,5.0293366494500486e-05,261.5775879282884
10,0.008130618755783347,1.674560279650319e-05,485.5375380981316
