,prime1,prime2,gap,phi_ratio,silver_ratio,plastic_ratio,phi_residual,silver_residual,plastic_residual
0,2,3,1,1.584962501,0.6977439176,0.8488236974,0.03307148803,1.716469645,0.9753534273
1,3,5,2,1.464973521,0.812853229,0.9468722847,0.153060468,1.601360333,0.87730484
2,5,7,2,1.209061955,0.7812354124,0.8802765221,0.4089720336,1.63297815,0.9439006026
3,7,11,4,1.232274406,0.8481268584,0.9414442171,0.3857595829,1.566086704,0.8827329076
4,11,13,2,1.069666964,0.782171108,0.8552612879,0.5483670243,1.632042454,0.9689158368
5,13,17,4,1.104588415,0.8220974615,0.8948652019,0.5134455742,1.592116101,0.9293119228
6,17,19,2,1.039257769,0.7926692883,0.8573516233,0.5787762197,1.621544274,0.9668255014
7,19,23,4,1.064886805,0.8195629456,0.884341871,0.5531471841,1.594650617,0.9398352537
8,23,29,6,1.073928254,0.8382889344,0.9011601224,0.5441057344,1.575924628,0.9230170023
9,29,31,2,1.019805618,0.8082500349,0.8653275181,0.5982283709,1.605963527,0.9588496066
10,31,37,6,1.051523403,0.836759216,0.8948733405,0.5665105853,1.577454346,0.9293037842
11,37,41,4,1.028428825,0.8266542959,0.8816549645,0.5896051636,1.587559266,0.9425221602
12,41,43,2,1.0128254,0.8185515998,0.8717174289,0.6052085883,1.595661963,0.9524596958
13,43,47,4,1.023648698,0.8293131888,0.8825898973,0.5943852907,1.584900374,0.9415872274
14,47,53,6,1.031205118,0.8391153194,0.8919445529,0.5868288703,1.575098243,0.9322325718
15,53,59,6,1.027012001,0.8404407607,0.8919628111,0.5910219874,1.573772802,0.9322143136
16,59,61,2,1.008175626,0.8289872189,0.8786422195,0.609858363,1.585226343,0.9455349052
17,61,67,6,1.022822095,0.8422444321,0.8923366019,0.5952118934,1.57196913,0.9318405228
18,67,71,4,1.013791081,0.8381093962,0.8869825431,0.6042429075,1.576104166,0.9371945816
19,71,73,2,1.006516925,0.8340619846,0.8821192514,0.611517064,1.580151578,0.9420578733
20,73,79,6,1.018410245,0.8448547795,0.8932574581,0.5996237433,1.569358783,0.9309196666
21,79,83,4,1.011304118,0.8415522521,0.8889995555,0.6067298705,1.57266131,0.9351775692
22,83,89,6,1.015795039,0.8468782968,0.8941560856,0.6022389493,1.567335266,0.9300210391
23,89,97,8,1.019176115,0.8518999062,0.8988058684,0.5988578734,1.562313656,0.9253712563
24,97,101,4,1.008833244,0.8458667496,0.8916659983,0.6092007447,1.568346813,0.9325111264
25,101,103,2,1.004248745,0.8432154935,0.8885175025,0.6137852435,1.570998069,0.9356596222
26,103,107,4,1.008220512,0.8471250798,0.8924666883,0.6098134765,1.567088483,0.9317104364
27,107,109,2,1.003963134,0.8446483448,0.8895307915,0.6140708545,1.569565218,0.9346463332
28,109,113,4,1.007682214,0.8483086486,0.8932278645,0.6103517752,1.565904914,0.9309492602
29,113,127,14,1.024706936,0.8636821458,0.9091060901,0.5933270529,1.550531417,0.9150710346
30,127,131,4,1.006401536,0.8514794622,0.8953010717,0.611632453,1.5627341,0.928876053
31,131,137,6,1.009186008,0.8546721655,0.8984090137,0.6088479805,1.559541397,0.925768111
32,137,139,2,1.002945745,0.8505727278,0.8937467292,0.6150882441,1.563640835,0.9304303955
33,139,149,10,1.014078983,0.8603984696,0.9039568717,0.6039550061,1.553815093,0.920220253
34,149,151,2,1.002664603,0.8525075829,0.895131567,0.6153693856,1.561705979,0.9290455577
35,151,157,6,1.007766353,0.8571864529,0.8999426629,0.6102676353,1.557027109,0.9242344618
36,157,163,6,1.007417439,0.8578775203,0.9003734737,0.6106165496,1.556336042,0.923803651
37,163,167,4,1.004759482,0.8565502564,0.8987010324,0.6132745069,1.557663306,0.9254760923
38,167,173,6,1.0068968,0.8589724968,0.9010632868,0.6111371883,1.555241066,0.9231138379
39,173,179,6,1.006616007,0.8595979478,0.9014610116,0.6114179821,1.554615615,0.9227161131
40,179,181,2,1.00214197,0.8565996268,0.8980709578,0.6158920186,1.557613936,0.9261061669
41,181,191,10,1.010344605,0.8638791444,0.9056227771,0.6076893841,1.550334418,0.9185543476
42,191,193,2,1.001983286,0.8580034319,0.8990822446,0.6160507027,1.55621013,0.9250948801
43,193,197,4,1.003897919,0.8598875144,0.9009833972,0.6141360698,1.554326048,0.9231937275
44,197,199,2,1.001911926,0.8586646827,0.8995590619,0.6161220625,1.55554888,0.9246180628
45,199,211,12,1.011061768,0.8667428126,0.9079511786,0.606972221,1.54747075,0.9162259461
46,211,223,12,1.010335408,0.8674748532,0.9083123573,0.6076985806,1.546738709,0.9158647674
47,223,227,4,1.003287901,0.8626716845,0.9029091966,0.6147460876,1.551541878,0.9212679281
48,227,229,2,1.001616971,0.8616306971,0.9017010883,0.6164170179,1.552582865,0.9224760364
49,229,233,4,1.003186849,0.8631759212,0.9032598245,0.61484714,1.551037641,0.9209173002
50,233,239,6,1.004664267,0.8648305759,0.9048764098,0.6133697218,1.549382986,0.9193007149
51,239,241,2,1.001521672,0.8626828297,0.9024621001,0.6165123167,1.551530733,0.9217150246
52,241,251,10,1.007412491,0.8679398268,0.9079067022,0.6106214982,1.546273736,0.9162704225
53,251,257,6,1.004275332,0.8661192967,0.9057376764,0.6137586568,1.548094266,0.9184394483
54,257,263,6,1.004158881,0.8665263421,0.9060110939,0.6138751077,1.54768722,0.9181660308
55,263,269,6,1.004048228,0.8669229776,0.9062781271,0.6139857612,1.547290585,0.9178989976
56,269,271,2,1.001324008,0.8650471465,0.9041741689,0.616709981,1.549166416,0.9200029558
57,271,277,6,1.003909001,0.8674364297,0.9066246704,0.6141249882,1.546777133,0.9175524543
58,277,281,4,1.002549274,0.866720323,0.9057384703,0.6154847145,1.547493239,0.9184386544
59,281,283,2,1.001257854,0.8659021781,0.9047939223,0.6167761345,1.548311384,0.9193832024
60,283,293,10,1.006151101,0.8702817279,0.9093257981,0.6118828882,1.543931834,0.9148513266
61,293,307,14,1.008217204,0.8727893665,0.9117294645,0.6098167845,1.541424196,0.9124476602
62,307,311,4,1.002260435,0.8685836357,0.9070502541,0.6157735542,1.545629927,0.9171268706
63,311,313,2,1.001116814,0.8678536012,0.9062094243,0.6169171752,1.546359961,0.9179677004
64,313,317,4,1.002209909,0.868930224,0.9072948454,0.6158240802,1.545283338,0.9168822793
65,317,331,14,1.007504313,0.8737767728,0.91227835,0.6105296757,1.54043679,0.9118987747
66,331,337,6,1.003096206,0.8708146824,0.908926767,0.6149377825,1.54339888,0.9152503577
67,337,347,10,1.005024301,0.8728438012,0.910937818,0.6130096876,1.541369761,0.9132393067
68,347,349,2,1.000982531,0.8699055585,0.9076992296,0.6170514579,1.544308004,0.9164778951
69,349,353,4,1.00194637,0.8708551192,0.908656365,0.616087619,1.543358443,0.9155207597
70,353,359,6,1.002872995,0.8718821067,0.9096612454,0.6151609941,1.542331456,0.9145158793
71,359,367,8,1.003746091,0.8729678125,0.9106956779,0.614287898,1.54124575,0.9134814468
72,367,373,6,1.002746076,0.8725223602,0.9101032435,0.6152879129,1.541691202,0.9140738812
73,373,379,6,1.002694853,0.8727881954,0.9102870676,0.6153391354,1.541425367,0.9138900571
74,379,383,4,1.001768205,0.8722853316,0.9096711343,0.6162657833,1.541928231,0.9145059904
75,383,389,6,1.00261336,0.8732204666,0.9105863524,0.6154206291,1.540993096,0.9135907723
76,389,397,8,1.003413543,0.8742114579,0.9115311713,0.6146204453,1.540002104,0.9126459534
77,397,401,4,1.001675343,0.8730795176,0.9102356889,0.6163586456,1.541134045,0.9139414358
78,401,409,8,1.003295605,0.8746795819,0.9118472638,0.6147383838,1.53953398,0.9123298609
79,409,419,10,1.004016779,0.8756770427,0.9127759902,0.6140172099,1.53853652,0.9114011345
80,419,421,2,1.000788674,0.8733081809,0.9101721511,0.6172453144,1.540905381,0.9140049736
81,421,431,10,1.003884938,0.8760979874,0.9130532139,0.6141490503,1.538115575,0.9111239108
82,431,433,2,1.000763197,0.8738040646,0.9105327515,0.6172707914,1.540409498,0.9136443732
83,433,439,6,1.002266888,0.8752016671,0.9119635727,0.6157671003,1.539011895,0.912213552
84,439,443,4,1.001490732,0.8747747439,0.9114430833,0.6165432569,1.539438818,0.9127340414
85,443,449,6,1.002207756,0.8755659473,0.9122177266,0.6158262323,1.538647615,0.9119593981
86,449,457,8,1.002891835,0.876407544,0.9130209778,0.6151421536,1.537806018,0.9111561469
87,457,461,4,1.001422874,0.8754422155,0.9119192882,0.6166111149,1.538771347,0.9122578365
88,461,463,2,1.00070581,0.8749717564,0.9113820495,0.6173281792,1.539241806,0.9127950752
89,463,467,4,1.001401529,0.8756576621,0.9120730897,0.6166324596,1.5385559,0.912104035
90,467,479,12,1.004127885,0.87819601,0.9146704383,0.6139061038,1.536017552,0.9095066864
91,479,487,8,1.002683786,0.8773853729,0.9136896239,0.6153502024,1.53682819,0.9104875008
92,487,491,4,1.001321858,0.8764867992,0.9126653915,0.616712131,1.537726763,0.9115117332
93,491,499,8,1.002608265,0.8777572899,0.9139447246,0.6154257238,1.536456272,0.9102324001
94,499,503,4,1.001285141,0.8768829977,0.9129486379,0.6167488478,1.537330565,0.9112284868
95,503,509,6,1.001906225,0.8775668575,0.9136183806,0.6161277634,1.536646705,0.9105587441
96,509,521,12,1.003738824,0.8793796626,0.915442971,0.6142951649,1.5348339,0.9087341537
97,521,523,2,1.000612464,0.8770454023,0.9128907526,0.6174215247,1.53716816,0.9112863721
98,523,541,18,1.005405763,0.8813133865,0.9173130562,0.6126282256,1.532900176,0.9068640685
99,541,547,6,1.001752549,0.8786941895,0.914410713,0.6162814401,1.535519373,0.9097664117
100,547,557,10,1.002873596,0.8798666175,0.9155736747,0.615160393,1.534346945,0.90860345
101,557,563,6,1.001694627,0.8791412282,0.9147254939,0.616339362,1.535072334,0.9094516308
102,563,569,6,1.001673826,0.8793049707,0.9148408724,0.6163601631,1.534908592,0.9093362523
103,569,571,2,1.000553096,0.8785004916,0.9139496893,0.6174808926,1.535713071,0.9102274354
104,571,577,6,1.001646828,0.8795201123,0.9149925321,0.616387161,1.53469345,0.9091845926
105,577,587,10,1.002702576,0.8806236682,0.9160872463,0.6153314125,1.533589894,0.9080898784
106,587,593,6,1.001595222,0.8799398877,0.9152886488,0.6164387669,1.534273675,0.9088884759
107,593,599,6,1.001576647,0.8800938229,0.9153973038,0.6164573415,1.534119739,0.9087798209
108,599,601,2,1.00052122,0.8793343038,0.9145565631,0.617512769,1.534879259,0.9096205616
109,601,607,6,1.001552506,0.8802962227,0.9155402207,0.6164814828,1.53391734,0.908636904
110,607,613,6,1.001534852,0.8804459378,0.9156459747,0.6164991365,1.533767625,0.90853115
111,613,617,4,1.001013356,0.8801505703,0.9152894906,0.6170206329,1.534062992,0.9088876341
112,617,619,2,1.000503707,0.8798099947,0.9149028018,0.6175302822,1.534403568,0.9092743229
113,619,631,12,1.002986975,0.8820472685,0.9172131156,0.6150470137,1.532166294,0.9069640091
114,631,641,10,1.002438785,0.881881859,0.9169453344,0.6155952035,1.532331703,0.9072317903
115,641,643,2,1.000482013,0.8804180116,0.9153453689,0.6175519753,1.533795551,0.9088317558
116,643,647,4,1.000959083,0.88088876,0.9158193883,0.6170749056,1.533324802,0.9083577364
117,647,653,6,1.001426196,0.8814011458,0.9163214494,0.6166077927,1.532812417,0.9078556753
118,653,659,6,1.001411139,0.8815383648,0.9164185865,0.6166228499,1.532675198,0.9077585382
119,659,661,2,1.000466867,0.8808557094,0.9156639698,0.6175671216,1.533357853,0.9085131549
120,661,673,12,1.002770584,0.8829332638,0.9178087195,0.6152634049,1.531280299,0.9063684052
121,673,677,4,1.000910039,0.8815861541,0.9163203194,0.6171239496,1.532627408,0.9078568053
122,677,683,6,1.001353794,0.8820726165,0.9167970183,0.6166801944,1.532140946,0.9073801064
123,683,691,8,1.00178426,0.8825939433,0.9172958559,0.6162497287,1.531619619,0.9068812688
124,691,701,10,1.002197577,0.8831452313,0.9178121813,0.6158364121,1.531068331,0.9063649434
125,701,709,8,1.001731801,0.8829647808,0.9175550332,0.6163021878,1.531248782,0.9066220915
126,709,719,10,1.002133781,0.8835001929,0.9180566041,0.6159002076,1.53071337,0.9061205206
127,719,727,8,1.001682176,0.883324701,0.9178068439,0.6163518129,1.530888861,0.9063702808
128,727,733,6,1.00124743,0.8831165609,0.9175375249,0.6167865588,1.531097001,0.9066395998
129,733,739,6,1.001235719,0.8832360613,0.9176223747,0.6167982696,1.530977501,0.90655475
130,739,743,4,1.000817242,0.8829953388,0.9173333917,0.6172167472,1.531218224,0.906843733
131,743,751,8,1.001620042,0.8837885894,0.9181317649,0.6164139465,1.530424973,0.9060453598
132,751,757,6,1.001201799,0.8835876736,0.9178721291,0.6168321893,1.530625889,0.9063049956
133,757,761,4,1.000794964,0.8833531914,0.9175908265,0.6172390249,1.530860371,0.9065862982
134,761,769,8,1.001576215,0.8841251769,0.9183677746,0.6164577733,1.530088386,0.9058093501
135,769,773,4,1.000780739,0.8835860448,0.9177583735,0.6172532501,1.530627518,0.9064187512
136,773,787,14,1.002699015,0.8853605671,0.9195770268,0.6153349742,1.528852995,0.9046000979
137,787,797,10,1.001893521,0.8849280829,0.9190433838,0.6161404677,1.529285479,0.9051337409
138,797,809,12,1.002236875,0.8854267131,0.9195020502,0.6157971135,1.528786849,0.9046750745
139,809,811,2,1.000368759,0.8840062768,0.9179572739,0.6176652296,1.530207286,0.9062198508
140,811,821,10,1.001829586,0.8853351421,0.9193256737,0.6162044031,1.52887842,0.904851451
141,821,823,2,1.000362578,0.8842264943,0.9181175615,0.6176714103,1.529987068,0.9060595632
142,823,827,4,1.000722259,0.8845816396,0.9184750404,0.6173117296,1.529631923,0.9057020843
143,827,829,2,1.000359561,0.8843351091,0.9181966172,0.6176744278,1.529878453,0.9059805075
144,829,839,10,1.00178425,0.8856314787,0.9195314373,0.616249739,1.528582084,0.9046456874
145,839,853,14,1.002458159,0.8864103013,0.9202845937,0.6155758302,1.527803261,0.903892531
146,853,857,4,1.000693219,0.8851009281,0.9188490247,0.6173407693,1.529112634,0.9053281
147,857,859,2,1.000345158,0.8848638787,0.9185814748,0.6176888307,1.529349684,0.9055956499
148,859,863,4,1.000687674,0.8852021136,0.9189219108,0.6173463144,1.529011449,0.9052552139
149,863,877,14,1.002380372,0.8867697908,0.9205279873,0.6156536168,1.527443772,0.9036491374
150,877,881,4,1.000671531,0.885500571,0.9191369211,0.6173624579,1.528712991,0.9050402036
151,881,883,2,1.000334398,0.8852706161,0.9188775019,0.6176995904,1.528942946,0.9052996228
152,883,887,4,1.000666308,0.8855983999,0.9192074055,0.6173676811,1.528615162,0.9049697192
153,887,907,20,1.003284911,0.8879838785,0.9216628007,0.6147490776,1.526229684,0.902514324
154,907,911,4,1.000646161,0.8859817576,0.919483647,0.6173878279,1.528231805,0.9046934777
155,911,919,8,1.001283024,0.8866112485,0.9201170469,0.6167509643,1.527602314,0.9040600778
156,919,929,10,1.00158613,0.8870098092,0.9204911944,0.6164478591,1.527203753,0.9036859303
157,929,937,8,1.001254669,0.8868769305,0.9203045723,0.6167793199,1.527336632,0.9038725524
158,937,941,4,1.000622542,0.8864439058,0.9198167397,0.6174114468,1.527769657,0.904360385
159,941,947,6,1.000928291,0.8867777209,0.9201440278,0.6171056981,1.527435841,0.9040330969
160,947,953,6,1.000921572,0.8868655711,0.9202067312,0.6171124165,1.527347991,0.9039703935
161,953,967,14,1.002126007,0.888025929,0.9213824505,0.6159079814,1.526187633,0.9027946742
162,967,971,4,1.000600502,0.8868883424,0.9201371415,0.6174334863,1.52732522,0.9040399832
163,971,977,6,1.000895593,0.887210408,0.9204529242,0.6171383954,1.527003154,0.9037242005
164,977,983,6,1.000889314,0.8872950205,0.9205133479,0.6171446751,1.526918542,0.9036637768
165,983,991,8,1.001176299,0.8876389455,0.9208429911,0.6168576901,1.526574617,0.9033341336
166,991,997,6,1.00087498,0.8874900467,0.9206526434,0.617159009,1.526723516,0.9035244813
167,997,1009,12,1.001732756,0.8883386269,0.9215062374,0.6163012325,1.525874935,0.9026708873
168,1009,1013,4,1.000572018,0.8874830555,0.9205659881,0.617461971,1.526730507,0.9036111366
169,1013,1019,6,1.000853317,0.8877899259,0.9208668901,0.6171806714,1.526423637,0.9033102346
170,1019,1021,2,1.000283081,0.8873695743,0.9204049404,0.6177509074,1.526843988,0.9037721843
171,1021,1031,10,1.001406742,0.8883947748,0.9214596949,0.6166272466,1.525818788,0.9027174298
172,1031,1033,2,1.000279318,0.8875352868,0.9205255142,0.6177546711,1.526678276,0.9036516105
173,1033,1039,6,1.000834487,0.8880558317,0.9210569252,0.6171995022,1.526157731,0.9031201995
174,1039,1049,10,1.001379009,0.888622486,0.9216192964,0.6166549795,1.525591076,0.9025578283
175,1049,1051,2,1.000273846,0.8877794286,0.9207031483,0.6177601426,1.526434134,0.9034739764
176,1051,1061,10,1.001361088,0.8887717601,0.9217239749,0.6166729005,1.525441802,0.9024531498
177,1061,1063,2,1.00027031,0.8879393265,0.9208194843,0.6177636789,1.526274236,0.9033576404
178,1063,1069,6,1.00080767,0.8884433032,0.9213339386,0.6172263186,1.525770259,0.9028431861
179,1069,1087,18,1.002394154,0.8899323006,0.9228535814,0.6156398348,1.524281262,0.9013235433
180,1087,1091,4,1.000525391,0.8885112911,0.9213077153,0.6175085981,1.525702271,0.9028694094
181,1091,1093,2,1.000261836,0.888329467,0.921103324,0.6177721529,1.525884095,0.9030738007
182,1093,1097,4,1.000522101,0.8885866364,0.9213620787,0.6175118881,1.525626926,0.902815046
183,1097,1103,6,1.000779185,0.8888668519,0.9216368744,0.6172548033,1.525346711,0.9025402503
184,1103,1109,6,1.000774355,0.8889399569,0.9216891748,0.6172596337,1.525273605,0.9024879499
185,1109,1117,8,1.001025188,0.8892396483,0.9219765604,0.6170088009,1.524973914,0.9022005643
186,1117,1123,6,1.000763301,0.8891086913,0.9218099047,0.6172706874,1.525104871,0.90236722
187,1123,1129,6,1.000758655,0.889180229,0.9218610963,0.6172753338,1.525033333,0.9023160284
188,1129,1151,22,1.002745569,0.8910209246,0.9237465745,0.6152884198,1.523192638,0.9004305502
189,1151,1153,2,1.000246313,0.8890713621,0.9216430255,0.6177876754,1.5251422,0.9025340992
190,1153,1163,10,1.001224891,0.889965532,0.9225625558,0.6168090977,1.52424803,0.9016145689
191,1163,1171,8,1.000971164,0.889860974,0.9224174231,0.6170628249,1.524352588,0.9017597016
192,1171,1181,10,1.001203498,0.8901633865,0.9227017794,0.6168304906,1.524050176,0.9014753453
193,1181,1187,6,1.000716355,0.8898489013,0.922339762,0.6173176338,1.524364661,0.9018373627
194,1187,1193,6,1.000712233,0.8899158122,0.9223876765,0.6173217559,1.52429775,0.9017894482
195,1193,1201,8,1.00094342,0.8901915504,0.922652166,0.6170905689,1.524022012,0.9015249587
196,1201,1213,12,1.001402089,0.8906923581,0.9231430155,0.6166318997,1.523521204,0.9010341092
197,1213,1217,4,1.000463632,0.889995415,0.9223788246,0.6175703565,1.524218147,0.9017983001
198,1217,1223,6,1.000692278,0.8902443674,0.9226229953,0.6173417107,1.523969195,0.9015541294
199,1223,1229,6,1.000688413,0.8903089089,0.9226692295,0.6173455753,1.523904654,0.9015078952
200,1229,1231,2,1.000228567,0.8899673179,0.9222947032,0.6178054216,1.524246244,0.9018824215
201,1231,1237,6,1.000683324,0.8903943735,0.9227304561,0.617350665,1.523819189,0.9014466686
202,1237,1249,12,1.001355834,0.8910598249,0.9233996973,0.6166781551,1.523153737,0.9007774274
203,1249,1259,10,1.001118431,0.890981451,0.923278099,0.6169155577,1.523232111,0.9008990257
